influenced,influences,link,name
,P. F. Strawson,https://en.wikipedia.org/wiki/Arda_Denkel,Arda Denkel
,,https://en.wikipedia.org/wiki/Alice_von_Hildebrand,Alice von Hildebrand
,,https://en.wikipedia.org/wiki/%C3%8D%C3%B1igo_Errej%C3%B3n,Íñigo Errejón
,,https://en.wikipedia.org/wiki/Aletta_Norval,Aletta Norval
,"Mortimer J. Adler,Aristotle,Thomas Aquinas,Augustine,G. K. Chesterton,Søren Kierkegaard,C. S. Lewis,Gabriel Marcel,Blaise Pascal,Plato,Balduin Schwarz (page does not exist),Socrates,J.R.R. Tolkien,Dietrich von Hildebrand",https://en.wikipedia.org/wiki/Peter_Kreeft,Peter Kreeft
,,https://en.wikipedia.org/wiki/Hans_Urs_von_Balthasar,Hans Urs von Balthasar
,,https://en.wikipedia.org/wiki/Moritz_Geiger,Moritz Geiger
,,https://en.wikipedia.org/wiki/Harrison_White,Harrison White
,,https://en.wikipedia.org/wiki/Barry_Wellman,Barry Wellman
"The Frankfurt School,The Praxis School,Budapest School (Lukács),Walter Benjamin,Andrew Arato,Lucien Goldmann,Imre Lakatos,Karl Polanyi,Guy Debord,Cornelius Castoriadis,Tom Rockmore,Moishe Postone,Sandra Harding,Richard D. Wolff,Costanzo Preve,Leszek Kołakowski,Karel Kosík,Fredric Jameson","Immanuel Kant,G. W. F. Hegel,Karl Marx,Friedrich Engels,Max Weber,Georg Simmel,Wilhelm Dilthey,Emil Lask,Georges Sorel,Vladimir Lenin,Rosa Luxemburg,Søren Kierkegaard",https://en.wikipedia.org/wiki/Georg_Luk%C3%A1cs,György Lukács
,,https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart,Wolfgang Amadeus Mozart
,,https://en.wikipedia.org/wiki/Western_philosophy,Western philosophy
,,https://en.wikipedia.org/wiki/Mark_Granovetter,Mark Granovetter
,,https://en.wikipedia.org/wiki/Lewis_A._Coser,Lewis A. Coser
"Miranda Fricker,Alice Crary,Jonathan Dancy,Robert Brandom,Louise Antony","Philippa Foot,Aristotle,Immanuel Kant,G. W. F. Hegel,Gottlob Frege,Peter Strawson,David Wiggins,Wilfrid Sellars,Ludwig Wittgenstein,Donald Davidson (philosopher),Hans-Georg Gadamer,Richard Rorty,Gareth Evans (philosopher),Robert Brandom,Robert B. Pippin",https://en.wikipedia.org/wiki/John_McDowell,John McDowell
,,https://en.wikipedia.org/wiki/Philo_of_Larissa,Philo of Larissa
